사용자,평점,댓글 내용
빵그르르춘,0.5,"와 영화 진짜 뭐같이도 만들었다
무슨 대학 동아리에서 만든 졸작인줄…
최근 십년 동안 본 영화 중 최악인듯
염치기 없네 이런걸 돈주고 보라니"
소애앵,1.5,영화 본 지 2달 지났는데 내용은 다 까먹고 김선호만 기억남
RHDH,2,몰락해가는 박훈정과 김선호의 재발견.
이태윤,2.5,"나름의 흥행 공식에 조금 다른 것을 섞었더니 개성이 허세로, 매력은 억지로, 뼈대는 없고 알맹이만 남아 버텨 나간다."
B바라기,2.5,"노력한 배우들에 비해
날로 먹으려는 감독."
폭풍,2.5,오로지 매력적인 한명의 인물로만 영화를 이끌어갔지만 영화의 매력은 글쎄..
녹색이념,2,주인공이 의도적으로 제일 불쌍하면 생기는 불상사
조중현,2.5,"보였던 건 배우들의 얼굴과 피
들렸던 건 개그와 총소리
기억나는 건 허무한 반전
느꼈던 건 없다"
칠보,1,자기복제 1인자
단차,2.5,김선호의 재발견. 끝.
Tai Woo  Jung,2.5,마무리만 질질안끌고 분량줄였으면 별점 하나 올라갈텐데…
소재현,2,아직 덜 뻔뻔해진 박훈정의 우라까이
윤한수,0.5,너무 뻔해
홍승수,2.5,천사얼굴로 사람 죽일때 오는 배덕감…. 기분이 나름 좋다.
Rustice Lee,1.5,김선호라도 건졌다.
Sol,2,거듭할수록 단단해지는 그만의 세계... 그렇다고 안이 실하지도 않은데... 단 한명의 배우도 제 역할을 못하지만 두 여배우가 가장 최악... 결국 이건 다 감독탓
잿빛 돼지,1.5,참조 : 아비정전
후루둥,2,마지막 그장면  헛웃음이 나오네..
이진구,2.5,"뭐.. 액션이 난무하지만
정신상태가 좀 이상한 느낌의 주인공 땜시 긴장감도 없고
특별히 잘 짜여진 느낌도 없어
그냥 시간때우기 영화였다는 느낌이었다."
japple,1,"장르가 범죄, 액션이 아님. 주변 분위기는 무겁고 어둡게 하고, 등장인물들은 코미디를 펼치는 새로운 장르. 점점 나락으로 빠져드는 박훈정.."
이현우,2,이정도면 캐릭터와 마지막 액션씬을 위해만 달려오는  단편연출가가 되려는거 같다
Keonhyung Kim,2,"박훈정에 대한 신뢰도 귀공자에서 무너지네
스타일에만 진심인 구멍난 서사
but, 김선호는 내 생각보다 좋은 배우"
정지훈,1,"감독의 기복이 너무 크다, 더 이상 계속되면 신세계는 우연이었던 것으로.."
저질평론가,1.5,"웃기려고 만든건가..
어이없는 실소인가.."
YS.OH,2.5,"귀공자의 깐족거리는 캐릭터가 너무 좋았음.

마녀 1편에서... '귀공자'가 죽어서 너무 아쉬웠는데, 그와 닮은 새로운 귀공자를 다시 보게 되어서 너무 만족스러웠다. (이름이 같네. ㅎ)

이 캐릭터를 중심으로 계속 나왔으면 좋겠음."
만수무강,2.5,범죄도시처럼 못웃길거면 코미디요소 넣지좀마라...분위기 겁나깬다
성창현,2.5,박훈정은 대사에 영어 좀 그만 섞어. 한글 대사도 구린데 영어까지 섞으니 더 구림
양서원,2.5,"김선호가 재밌다
김선호 얼굴, 피지컬이 아니었다면
0.5점도 받지 못했을 것."
김대환,2,"인물은 프로, 판이 아마추어."
김주연,1.5,"김선호 복귀작으로 보러 갔는데
장꾸 미소 그만...
각 배우들 연기력으로 끌고 가는 영화"
로그아웃,2.5,뭐지?
최세정,2.5,"밋밋한 액션, 그냥 그런 유머, 단순한 플롯, 그나마 김선호,김강우.

이렇게 뻔하기도 쉽지 않은데 그렇다고 액션이 재밌지도 않다.
감독은 1차원적으로 캐릭터만 스케치하고 플롯은 그냥 여러 인물을 넣으면 입체적으로 바뀌는 줄 아는 것 같다. 억지스러운 과정에서 고아라같은 인물은 그냥 허무하게 소비되는 것에서 그친다.
아무리 스토리가 단순해도 액션 영화면 액션을 잘 찍으면 되는데 액션도 밋밋하다. 결국 나름 참심한 김선호 캐릭터도 점점 중2병 걸린 킬러로 느껴지기 시작한다."
도도무비,1,"분량 30분짜리 이야기를 1시간30분으로 만들었으니..
불필요한 대사를 남발하고, 어설픈 후까시만 잡아댄다."
양종선,2.5,주인공을 잡기위한 이유가 좀 더 현실적이거나 신선했다면 더 좋았을거 같다 ㅎㅎㅎ 그냥 오락영화 그이상 그이하도 아닌
○□○,2,2시간짜리 김선호 화보
멍멍쿠잉,2,다 필요없고 귀공자의 미소 속에서 콜라나 한사바리 하고 싶다.😍
기멩,2.5,마르코는 괴로워
이종재,2.5,"신세계 신세계 신세계
언제까지 신세계만 다시 보게 할건가요"
xoxosos,2,마지막은 진심 뭐 어쩌라고 소리가 절로 나오네ㅋㅋ
잔인한詩,2.5,"The Childe

귀공자도 코피노였다
죽기 전에 착한 일 한다고
마르코를 이용했다

근데 귀공자는 불법 무허가 병원에서 폐암으로 죽는 줄 알고
헛고생한 것이다
단지 금단현상으로 기침을, 각혈을 했을 뿐 ;;;
***
애초에 이상한게
그렇게 돈이 많으면
심장을 기증을 받지 구태여 친자식의 심장이 필요했을까?
그리고 못 죽이는데
죽여도 심장은 아직 살아있으므로
손상만 없다면 금세 이식하면 될 텐데
왜 마르코를 못 죽이는 걸까?

설정이 좀 필연성이 없다
그리고 더 애초에
친자식 놔두고 둘째 부인 것도 아들도 아니고
딸에게""만"" 전재산을 주는 걸로 유언을 남겼단 게 말이 되는가?
아무리 정신이 오락가락할 때 받은 유언이래도

애초에 변호사라면 심신상실의 지경인데
유언을 받아놨단 게 말이 되는가?"
GoodSoul,2.5,그나마 김선호가 돋보이는 삽질
1주일에 영화 한편,2,잘 모르겠고 너무 뻔한전개라...
위도현,2,"정말 수트 차림에 입꼬리 땡겨 낭만있는 척 웃는 싸패 살인마가 페르소나로 정착한건가.

어쨌든 김선호 끝까지 고집한 이유는 알겠다. 해맑은 도른자가 필요했구나. 그 캐릭터 말곤 없네 보여줄 수 있는 캐릭터가. 나머지 캐릭터들은 못봐주겠다.

아니 근데 이상하게 박훈정스럽지 않구만."
심슨,2.5,"점점 다양한 방식으로 파생되는 박훈정표 장르물. 한 개만 걸려봐라 이건가?
한편으론 한 우물만 파는 장인 같기도."
Danny S Kim,2.5,"감독님, 자꾸 새로운거 하려고 하지 마시고… 그냥 마녀랑 신세계 시리즈에 집중해 주세요 😅"
Vonchio,2.5,"코피노를 향한 박훈정의 추모사. 그 한계와 명암을 여실히 보여준 작품

킬러의 미소는 귀엽고 재밌지만 거기서 끝이었다."
홍기재,2,레퍼런스 없는 박훈정은 앙꼬 없는 찐빵이다
박영채,2.5,카레이싱만은 레퍼런스로 쓸 만 했다
문지은,2,"그냥 뻔하고,, 중간까지는 뭐가 있는거 같이 그래도 궁금했었는데 막판에 공개된 이유는 그냥 빤했음,, 피만 오질나게 나오고 ㅜ 액션영화치고 뭐 액션신도 그닥,, 주인공 배우를 어머니께서 좋아하셔서 따라본거라 그냥 기분환기겸 보았다 ^^;"
노태민,2.5,"귀공자라는 제목의 이중의미.
김선호 분 캐릭터의 은근한 매력.
그 외에는 여러모로 아쉬움이 많이 남는."
LJ,1.5,발암난 가족
이관렬,2.5,"a급과 b급 사이 어딘가
극장보단 ott스러운 영화다. 액션씬이 수준이 높지도 낮지도 않게 중간정도 해준다.
컨셉이나 감성이 이해될듯 말듯 엉정쩡하다."
이하연,2.5,솔직히 재밌음ㅎㅎ
뉴스,2.5,의도한 장르가 코믹이었다면 반의 반 정도 성공
Ji No,2,마녀2를 이은 실망의 연속
TaeKyoungLee,2,영화보면서 제작비 참 알차게 아낀 것 같다란 느낌이 든 영화는 처음임
박강산,2.5,"신세계 이후로 뭘 만들어도 잔혹동화 밖에 안만들어지는 저주에 걸린 감독님, 그래도 PC가 모든걸 망치고 있는 요즘 대놓고 패드립, 성적 비속어, 일방적 폭력 등의 길티플레저를 충족시켜주려는 의도가 마음에 든다."
Immigrant,2.5,선호 얼굴말고는... 나 정말..
jenny,2,"김선호가 가끔 웃겨서 봤다..
줄거리도 모르고 봐서 그래도 끝까지 볼 수 있었다. 당황스러운 결말
영화 끝나고 나왔는데 서로 나눌 이야기가 없음..."
진우영우,0.5,기억 남는거? 김선호가 원래 저런 사람이었나? + 배우들 얼굴만 기억 남음
한예지,2.5,스포일러가 포함되어 내용을 생략했습니다.
송시원,2.5,독특한 캐릭터가 영화 전반을 이끌어간다
자두소르베,2.5,"역시 차는  벤츠
김선호배우 액션도 잘하시네요

#CGV #MOON"
HYOMJAA,2.5,"모두에세 불만족을 주는 공평한 감독.
미국에 마이클 베이가 있다면 한국엔 그가 있다."
즤지,2.5,"감독님 찍으면서 재밌었을 것같다..
코미디에 가까운 느와르.. 솔직히 호감 ㅋㅋ
김빠지는 개그를 자꾸 치면서 병 콜라를 마시는 김선호 캐릭터가 좋았다"
보문동꿀주먹,2.5,수많은 단점을 마지막 한 방으로 겨우 만회하려 한다.
미뇽킴미뇽,1.5,"신세계의 박훈정은 허상이었나..
.
2023.07.02 롯데시네마 은평 가은(2023_021)
무대인사 박훈정 감독 김산호 고아라 김강우 강태주"
뾰뾰,2,김강우씨. 그 의미심장하는척 하느라 목소리 낮추고 말할 때 발음 하나도 안 들려요. 오락 영화 보면서 대체 내가 왜 듣기평가 듣듯이 당신이 뭐라고 하는지 스트레스 받으면서 집중해야 됩니까. 물론 당신보다 당신이 그러고 앉았는데도 오케이 사인 낸 감독이 더 나빴습니다. 하......ㅎㅎㅎ
영배,2,김선호랑 김강우라는 엑스칼리버를 가지고 밭에서 막 딴 무만 주구장창 채썰고 있으면 어캄… ㅠㅜ 캐릭터성이 너무 없어서 아쉬움 서사도 없어 명확한 이유도 목적도 밝히지 않고 전개되는 모든 것들이 아쉬웠음…
푸른 하늘보다도,2.5,"좀 더 밟아도, 좀 더 정신 나가도 괜찮았을 텐데."
Sekang,2.5,"다음과 관련된 누군가에게 주문을 받은 건 아닌지?
1. 김선호
2. 마세라티, 벤츠
3. 코피노"
김민서,2,똘끼 있는 미소만 기억에 남음.
소영,2,자동차 광고같아요.. 전형적인 한국 영화...
chu,0.5,김선호 복귀작
뿡띠,2.5,김선호 안 나왔으면 우얄 뻔 했노...
panicmaker,2,가볍게 쉬어가고팠던 감독? 아니면 마녀월드의 큰 그림?
소센세,2.5,"이야기가 넘 중구난방임
이걸 왜케 길게 하는지 모르겠는데 잘라야 할 부분은 안 자르고 필요하다 싶은 부분은 또 없어"
캐스퍼,1.5,"마녀 느낌이 많이 난다

2023.06.30"
BARI밁,1,한국영화에 xx(욕)이랑 담배 좀 빼줘 지겹다
루루,2.5,본인 영화를 계속 오마주하는 감독.
"김채운 ""Cinéphile""",2,"이 영화를 보고 웃는 것이 장르에 대한 만족이어서 일지, 어이없음이어서 일지.. 그래도 영화가 얻어낸 최대의 수혜는 '김선호'"
Undine,2,역시 오타쿠들의 수장 박훈정!
김동민,2,스포일러가 포함되어 내용을 생략했습니다.
밍8-w,1.5,오디오 어색한 건 마녀 때도 그러더니 일부러 그렇게 연출하는 건가 ... ?
marou,2.5,"배우들의 연기로도 살리기 어려운 식상한 인물 설정, 오글거리는 대사"
yuyuyu,1,"마르코 왤캐 착해.....
얘야 트럭도 강취하고 자전거도 훔쳐타고 그래야지
그렇게 죽어라 뛰기만하면...죽어....ㅎ

하 영화가 있는척 폼은 엄청 재는데 마지막에 껍데기 파보니 과대포장~~~ 아~~~ 무것도 없어

진심 오랜만에 시간아까운 영화였다....

김선호 굳이 왜쓰는거지???
플래시 주인공은 연기라도 그냥 봐줄만했는데 김선호는.... ㅋ 인소에서 튀어나온줄ㅋㅋ
잘생겨서가아니고 개어색하고 오글거려서...ㅋㅋ

외국이든 국내든 논란있는 배우들좀 안썼으면....영화도 재미없는데 두배로 빡치니깐....
보고 욕하기도 이제 지친다~~

한국영화 우짜노....다 비슷하게 노잼인것도 재능이다진짜

재관람의사 X"
미소,2.5,"범죄오락액션 장르로 좋게 흐르다 ..갑자기 결말 부분에서
푸—욱 꺼지는 느낌 아쉽다."
압구정파인만,1,ㅋㅋ
._.,2,"근무 끝나고 관람해서 약간 피곤한 것도 있었지만 초반부가 너무 잔잔하고 씬이 계속 이어지는 게 아니라 끊기면서 다른 이야기들을 해서 이 영화가 무슨 내용일까 감도 잡히지 않았었고, 살짝 졸았던 부분도 있다.

슬매님이 “재미없는데” 해서 충격 먹고 많이 재미없냐고 여쭤봤는데 “농담이야~ 김선호 얼굴이 재밌어~” 하셨다.
정말 김선호 배우님 잘생기셨네요. 부럽다.

그치만.. 1. 초반부 늘어짐 2. 씬이 끊겨서 사전지식 없이 관람하는데 집중이 어렵고 힘들었음 3. 떡밥을 던지기도 전에 예상이 전부 적중한 뻔한 스토리(장기, 재산, 코피노 등등..) 4. 매력 없는 대사들 5. 등장인물들이 굳이 죽을 때 알게 될 거라고 안알려주는데 그냥 답답하고 별로 흥미롭지도 않았음 6. 이해 안가는 서사 7. 그 외 여러 요소
영화보면서 내내 무표정으로 관람했다. 종종 웃는 관객들도 있던데 난…. 왜 안웃기지? 뻔한 예상이 적중했을 때 어이없어서 흘린 실소 몇번?

자꾸 프로 프로 하는데 아니 자기 입으로 프로라고 계속 말하는거 진짜 노매력.. 대사 지워버리고 싶었다. 그놈의 타겟을 놓쳐본적이 없고 프로고 어쩌고 저쩌고
그래도 “엎드려” 는 좋았습니다. 수트가 잘어울리는 김선호 배우님의 섹시한 한마디(?) 뻔했지만 내 설렘포인트인 박력 부분 공략1 성공

김강우 배우님 너무 섹시했다.. 오 ㅏ 진짜.. 김강우 배우님이 나오는 장면은 그래도 다 재밌게 본 것 같다. 연기도 잘하시고 무엇보다 섹시함

아니 근데 영화관람 하면서 진짜 무매너 진짜.., 쿠키영상을 볼거면 앉아서 보던가 앞에서 떡하니 스크린 가로막고, 옆으로 비켜서서 보던가 객석 중간에 떡하니 서서 보는건 진짜 무슨 경우? 덕분에 쿠키 제대로 못봐서 화남. 그리고 딤머등 켜지지도 않았는데 나갈 준비 하면서 후레쉬를 켰으면 빨리 나가던가 쿠키 볼거면 다시 끄던가!!!!ㅠㅠ 불빛 공격 오지네 진짜.. 쿠키 끝날 때까지 꾸역꾸역 켜고 있는 건 진짜 진짜 무슨 생각이지? 영화관 혼자 쓰나. 그럴거면 제발 집에서 티비나 보세요 진짜ㅎ

재밌게 봤던 작품이 있다면 작품성이 뛰어나지 않더라도 훗날 다시 기억이 떠오르거나 ott서비스에서 우연찮게 발견했을 때 다시 보곤 하는데, 귀공자는 다시 볼 일은 없을 것 같다. 빵빵 터지는 것도 아니어서 킬링타임도 안 될 것 같음

근데 사람이 저 높은 다리에서 뛰어내리는데 멀쩡 할 수가 있나요? 보면서 계속 저게 말이 되나? 생각했는데.. 나중에 한 번 뛰어내려 보면 큰일 나겠지… 아무튼 이해 안가는 건 너무 많았지만 김강우 배우님 때문에 참는다.. 섹시해서 참는다 내가 진짜.. 샤워가운입고 총들고 있는 모습 때문에 참는다 내가.."
주인혜,1.5,"귀공자 中 ”난 프로거든 프로“

. . . 영화는 아마추어였다"
꽃가람,2,무엇을 위해 그 곳의 최고가 되었는지
김피디,2.5,"요상한 시각으로 사회를
바라보며 세계관을 만드는 재주가 있어"
박상민,2.5,"가장 적인줄 알았던 존재가 가장 친구였던 상황에 관하여.
두 시간동안 폼나게 등장해서 악만 쓰다 허무하게 사라지는 악당들의 등퇴장과 프로의 액션, 마르코의 리액션만 보는 것은 왠지 모르게 지친다.
재치있다기 보단 헛웃음만 만드는 허무한 유머들도 역시나 아쉬움이 남는다."
지은,2.5,"무슨 인식칩을 심었나 왤케 잘 찾음?

영화 후반부에서 물음표가 머리에 백 만개 찍히는 영화,,"
너에게 가마,2.5,"‘신세계’ 이후 매번 느끼지만, ‘신세계’는 도대체 어떻게 만든거야."
김근표,2,시작은 스릴러 끝은 개그 뭐하자는 걸까
오소리,2,"박훈정 영화의 바닥.
김선호의 발견이 유일한 위안."
남현성,3,귀공자가 등장할때만 잠깐씩 살아나는 영화의 동력.
인간장현우,2.5,"10분만에 보이는 캐릭터
예상치못한 유머는 의외"
Jo NamWook,2.5,조커 웃음 이제 그만
luckyhyh,2.5,"""영화속 귀공자는 프로가 맞는데, 서사의 완성도는 프로스럽지 못하네.""

뛰어난 전투력, 깔끔하고 단정한 스타일, 언제나 여유있는 행동과 능글맞은 미소 등
지금까지 접하지 못했던 '귀공자'라는 새로운 캐릭터의 등장과, 이를 완벽에 가깝게 소화해낸 '김선호'의 연기는 영화의 큰 장점이다.

또한 나쁘지 않은 액션시퀀스와 '박훈정' 감독 영화에서 보기 힘들었던 병맛 개그도 관객들을 즐겁게 해준다.

하지만 전조도 없이 훅 들어오는 '귀공자'의 서사, '마르코'를 둘러싼 개연성 없는 전개가 몰입감을 방해하고,

과장된 총기액션과 권투 선수 '마르코'의 타격감 부족한 권투 액션은 영화의 단점이다."
chchaaee,0.5,김선호 얼굴 덕에 0.5점 줍니다
jjum102,2,이젠 정말 박훈정에 대한 기대감을 내려놓을 때...
김혜림,2.5,"1시간이면 될 이야기를 2시간이나 꾸역꾸역..
신세계를 바란건 아니었지만 고작 마녀3 수준이라니"
MOAAI🗿,2,"이 영화의 장르는 결국 '액션'인데,
액션이 하나도 안 보인다.

액션 연출이 너무 복잡해서
어떻게 찔렀고, 어떻게 때렸는지를 알 수가 없다.
그냥... 피만 분수처럼 쏟아진다.

<마녀2>도 그렇고... 박훈정 감독은...
이제 액션을 그만해야 할지도...

소소하게 터지는 개그들이 있지만,
그건 이 영화의 셀링 포인트가 아니니까.

그리고, 박훈정 영화 캐릭터들은 전부 허세가 그득한데,
그게 박훈정의 색깔이라면 색깔이랄까...?
볼수록 참 매력 없는 색이다."
이수티,2.5,"나갈 채비 한 세월에도 제대로 끝마치지는 못한 준비
큰 틀에서의 오락성은 챙겼으나 조금은 과하고 투박하다"
반성문을영어로하면글로벌,2,신세계와 마녀의 깜찍한 혼종
치즈에,0.5,김강우씨는 그간 필모에서 이렇게 일이 뜻대로 안풀리는 부티나는 남자캐릭터들을 모아서 하나의 세계관으로 만들어도 될 것 같군요. 그보다 고아라씨는 나오는 줄도 몰랐지만.. 그래도 유일한 여성캐릭터로 보여서 시선이 갔는데... 허... 안타깝습니다
Yedam park,2.5,"벤츠
광고 아니냐고,,,"
양성순,2,쓰레기라는 소문에 극장에 와보니 그 정도는 아니지만 많이 쉬긴했다.
초코콧구멍,2,갯마을 김프로
모아이,2,최근 박훈정 감독의 영화들이 너무 별로였었는데 그나마 이번 귀공자는 그나마 볼만했다. 클리셰는 난무했지만 이전 작들에 비교해서는 재미는 있었으니 넘어가고 여고생이나 어린 여자들이 총드는걸 시그니처로 생각하는건지 자주 집어넣는데 상황에 좀 맞게 넣는게 어떨까 생각이든다. 김선호 배우의 연기가 기억에 남는 영화였다
심지연,1.5,명절에 집에서 우연히 접하면 볼만함
유엲,1.5,"캐릭터 빌드가 너무 게으르고 건방지다
그리고 시작부터 한시간정도가 너무 루즈함
음 그리고 딥한 느와르 기대했는데 코미디가 메인인걸까…"
No.A,0.5,스포일러가 포함되어 내용을 생략했습니다.
뚱딸,2,아니 어이없는 게 코미디영화였음ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 웃기긴 웃겨서 별 두 개..
User2777,2.5,뒷부분 내용 설명이 처지고 굳이 싶은 장면이 있음. 너무 관객들의 사고를 일정하게 몰고 싶은 의도가 보여 매력이 있게 다가오지 않음. 액션은 청불 정도는 아닌 것 같지만 중간 중간 웃을 수 있는 요소 있어서 나쁘진 않음
BECKS,2,"홍반장 필리핀 ver.
.
.
신나는 액션을 기대했건만 중반부까지 늘어지는 전개가 아쉬웠다."
허세인간,2.5,스포일러가 포함되어 내용을 생략했습니다.
김지웅,2.5,김선호 팬메이드 영화
백월,2.5,"ㅇㄴ 장난하냐?
김선호를 데리고....하아..., 이거 복귀작인데
내가 진짜 김선호 얼굴 나오는데 앞에서 졸지 몰랐다
2시간말고 앞에 쫌 줄여서 1시간반짜리로 만들지
뒤까지 보면 스토리 괜찮더만
아... 대사도 몇개 너무 오글거리고....진짜...
😒😒😒
선호야... 그래도 니 얼굴 봐서 행복했다
스크린에서 자주 보자
아무리 개떡같아도 또 보러올게
또보자 영화관에서
with T"
송승준,2.5,18세라 좀 더 재밌었지만 18세라 실망스러웠던 영화
이카앞,2,"에이~ 설마 00겠어?
그런데 그 00가 실제로 일어났습니다
가 반복되는 진기한 경험

+감독이 만든 웃음 포인트 100개 중 10개 정도에는 웃어주는 착한 관객들… 이래서 극장에서 영화를 봐야하나봄"
udong,2,msg 맛집이라고 찾아갔더니 그릇에 msg만 담아주는 꼴
김정민,0.5,"박훈정감독 영화 다신 볼일 없을것
그리고 고아라캐스팅은 미스였다.."
복어대가리,1,"재미도 없고 긴장도 안되고 웃기지도 않고 그러니 몰입도 안되고

2023.06.24
동래롯데"
이지윤,2.5,2023.06.24 홍대 롯시 초혜
초코,2.5,김선호 수트빨 멋져… 🩵
민현기,2.5,"경찰을 신뢰하지 않는 코피노와
경찰을 우습게 여기는 업자들
그리고 그들의 믿음에 부응하듯
그 난리에 코빼기도 안비추는 폴리스."
영화로봇,1.5,"새로운 건 단 1%도 없는..
배우만 열심히 한듯!"
sonee.verte,2,"개그요소는 적재적소에서 괜찮았지만, 프로만 볼 수 있는 시야만 보여줘서 어딜가나 싶은 추격씬, 너무 흔들어대서 하나도 못알아보겠는 정신없는 액션씬이 비중에 비해 아쉽다."
영준,2.5,﻿신세계는 틀렸고 마녀시리즈부터 일단 마무리를 지었으면......안 되나???
솨C,1.5,신세계라는 영화가 나왔던 건 박훈정한테 기적이였음
ohddol,2,"2시간짜리 러닝타임치고 내용도 없고, 각 인물들에 대한 설득력 또한 없다. 마지막에 휘몰아치듯 설명해주는 건 너무 올드한 방식 아닌가..?"
darkice,2.5,전체적으로 살짝씩 아쉽고 끝내 선을 넘어버린 1:다수 마지막 총격씬
조경현,2,뚝심만으로 밀어붙이는 컨셉.
원래인생은고통,2.5,"...도대체 무슨 영화임? 뭐라는지 모르겠네

김선호 연기 좋았고 얼굴이 서사이긴 한데
귀공자 캐릭터 자체가 매력적인지는 모르겠음
그냥 낙법 신, 강철 무릎의 사나이 돼버림

캐릭터는 마르코가 좋았다
이리저리 뛰고 어리둥절하다가
그대로 영화가 끝나버린 게 문제지만"
윤성은,2.5,"1. Plot : 4/10
2. Attraction : 5/10
3. Theme : 5/10
4. Acting : 6/10
5. Dialogue : 4/10
6. Cinematography : 6/10
7. Editing : 6/10
8. Soundtrack : 6/10
9. Directing : 6/10
10. The ""It"" Factor : 5/10

Overall : 5.3/10"
이산,2,훈정이가 말아주는 K-사학비리개저느와르노란장판비엘
사이다,2.5,"죽일것인가, 구할것인가
P.S. 프로는 죽지않아"
겨울달,2,감독 말고 캐스팅 디렉터를 하시면 대성하실 거예요.
타이슨,2,바지는 왜내려
북극하이에나,2.5,"재밌지도, 재미없지도않다. 주인공의 독특한이미지가 나에게는 흥미롭지않았다. 감독특유의 느린 빌드업과 이에따른 지루한부분,  다크한분위기는 확실히 호불호가 있을법하다.
좋았던점 : 감독만의 느낌, 색깔
나빴던점 : 스토리, 액션
-23.6.23.금-"
Vacancy,2,"감독님이 신세계에 사시나요?
그곳 대중들 취향인가 봅니다"
우지,2.5,"김선호 아니였으면 사실 안 봤을..

예고편과 본편의 느낌이 사뭇 다르군염"
Kyungjae Choi,2.5,"이름처럼 촌스런 영화
팬들이야 김선호 미소만 봐도 즐겁겠지만,
이따위로 만들어도 계속 투자 받고 개봉하는게 신기하다."
한승엽,2.5,"짜깁기의 짜깁기의 짜깁기의 연속이다.
김선호배우말고는 연기도 어색하고 영화에 묻어나지도 않는다.
그래도 포텐이 단 한번은 아닐꺼라 믿고는 싶다."
gluck,2,"어이가없다 걍
생각보단 괜찮음
김선호 호감"
표표,2,맑은 눈의 김선호만 남기고 모든게 휘발된 영화
novi,2,"박훈정 감독 전작의 장, 단점이 그대로"
Seulet,2.5,왜 이렇게 어색해
박상훈,1,제네시스보단 벤츠지
권나현,2,지루했다
zampano,2,이야기가 아쉽다
쿨쿨,1.5,"2023.6.22
대사도 별로고 영화 내용도 별로였다
김선호는 엄청 좋았다
개인적으로 최악"
스토리인,1,"김강우 영화는 영화 연기보는 맛이 있다
강약조절이 좋다
신기하게 전체적으로 다 그렇게 보이게 한다
다른배우들의 기가 약해보일 때쯤
뽜이팅하자는 느낌으로도 오고
너무 튈 땐 놀자 릴렉스로 올 때도 있다

돋보인다는 건 그런 것 같다
티나지 않지만 아주 안보이진 않게

코피노를 등장시켜 새로운 캐릭터 개발로는 좋은 시도
그 아이들이 성인이 됐을 정도구나
시간의 흐름을 새삼 깨달았다
but 어른들 캐릭터를 눕방으로만 보여 그건 좀 별로였다
아버지역 배우분 나 좋아하는데, 아쉽

빌런 빌런 빌런 그러는데
그냥 지들끼리 빌런이지
사회 악까지는 아닌 거 같아서 잘 모르겠다
그냥 집안싸움의 에피소드 중 하나

그니까
평소 관계정리 잘하고 건강관리 잘하자"
미안해요 래리(이성현),2.5,"길복순보다는 나았고,
액션도 볼 만하다.
근데 제발 그 놈의 후까시 좀..."
충정지애,2,.
사니,2.5,"나도 친구시켜줘 , , ,"
윤정선,1.5,피튀기며 인류애 넘치는 해외봉사 다큐멘터리
you35,3,"박훈정 감독 특유의 진득하게 늘어놓는 장면들을 볼 때면 그 분위기에 취하게 된다.
누군가에겐 단점이자 나에게는 은근 취향에 맞는 편안하면서 심장이 두근거리는 현상이 꽤 중독적이다.
왜 김선호를 끝까지 붙잡았는지 알겠다."
YSM,2.5,"선호형의 중이병 +1.5
강우형의 간지 +1.5
고아라의 연기 -0.5
=2.5점드립니다"
더께,3,무게와 유머의 균형을 적절하게 실어 나른다.
Go Get Em Tiger,2.5,초능력도 없는 인물들의 특유의 거들먹거림에 내성이 있다면 괜찮을지도...
